,subjID,experimentName,versionName,sequenceName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,object,side,gabor,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
0,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,0,k0,laptop,R,H,classroom,0,scaled,k0_large_laptop_R_H.png,large,c,1,1755,0,4,k0_large_laptop_R_H.png,124160,249143,32,Woman
1,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,1,k4,notebook,L,H,classroom,0,scaled,k4_large_notebook_L_H.png,large,c,1,1006,1,7,k4_large_notebook_L_H.png,124160,249143,32,Woman
2,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,2,c0,clipboard,L,H,classroom,1,scaled,c0_large_clipboard_L_H.png,large,c,1,905,2,5,c0_large_clipboard_L_H.png,124160,249143,32,Woman
3,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,3,k8,binderclip,L,V,classroom,0,misscaled,k8_large_binderclip_L_V.png,large,m,1,1248,3,7,k8_large_binderclip_L_V.png,124160,249143,32,Woman
4,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,4,c8,flashdrive,L,H,classroom,1,misscaled,c8_large_flashdrive_L_H.png,large,c,1,1538,4,7,c8_large_flashdrive_L_H.png,124160,249143,32,Woman
5,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,5,c10,saltshaker,R,V,kitchen,0,misscaled,c10_large_saltshaker_R_V.png,large,m,1,1180,5,7,c10_large_saltshaker_R_V.png,124160,249143,32,Woman
6,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,6,c6,sponge,L,V,kitchen,0,misscaled,c6_large_sponge_L_V.png,large,m,1,2049,6,7,c6_large_sponge_L_V.png,124160,249143,32,Woman
7,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,7,k10,toaster,R,V,kitchen,1,scaled,k10_large_toaster_R_V.png,large,m,1,1294,7,4,k10_large_toaster_R_V.png,124160,249143,32,Woman
8,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,8,c2,spoon,R,H,kitchen,0,misscaled,c2_large_spoon_R_H.png,large,c,1,1872,8,7,c2_large_spoon_R_H.png,124160,249143,32,Woman
9,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,9,c4,eraser,L,V,classroom,1,misscaled,c4_large_eraser_L_V.png,large,m,1,1151,9,7,c4_large_eraser_L_V.png,124160,249143,32,Woman
10,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,10,k6,pot,R,H,kitchen,1,scaled,k6_large_pot_R_H.png,large,c,1,1002,10,5,k6_large_pot_R_H.png,124160,249143,32,Woman
11,166575,Gabor-Discrimination,v2,jsons/s4_even.json,1920,919,1920,1080,2-6-2024,18-10-2,1,11,k2,kettle,R,V,kitchen,1,scaled,k2_large_kettle_R_V.png,large,m,1,902,11,6,k2_large_kettle_R_V.png,124160,249143,32,Woman
